parameter,environment,memory_size,repetition_penalty,memory_strength,mean_success,std_success,seeds
ltm,custom_loop,,,0.05,0.125,0.3535533905932738,8
ltm,custom_loop,,,0.1,0.125,0.3535533905932738,8
ltm,custom_loop,,,0.3,0.0,0.0,8
ltm,frozenlake_4x4,,,0.05,1.0,0.0,8
ltm,frozenlake_4x4,,,0.1,1.0,0.0,8
ltm,frozenlake_4x4,,,0.3,1.0,0.0,8
ltm,frozenlake_8x8,,,0.05,0.625,0.5175491695067657,8
ltm,frozenlake_8x8,,,0.1,0.625,0.5175491695067657,8
ltm,frozenlake_8x8,,,0.3,0.5,0.5345224838248488,8
ltm,frozenlake_8x8_stochastic,,,0.05,0.2615,0.2207590800591709,8
ltm,frozenlake_8x8_stochastic,,,0.1,0.21625,0.2000212488712137,8
ltm,frozenlake_8x8_stochastic,,,0.3,0.23375,0.16774278779471521,8
stm,custom_loop,5.0,0.01,,0.0,0.0,8
stm,custom_loop,5.0,0.05,,0.0,0.0,8
stm,custom_loop,5.0,0.1,,0.0,0.0,8
stm,custom_loop,10.0,0.01,,0.0,0.0,8
stm,custom_loop,10.0,0.05,,0.0,0.0,8
stm,custom_loop,10.0,0.1,,0.0,0.0,8
stm,custom_loop,20.0,0.01,,0.0,0.0,8
stm,custom_loop,20.0,0.05,,0.0,0.0,8
stm,custom_loop,20.0,0.1,,0.0,0.0,8
stm,frozenlake_4x4,5.0,0.01,,1.0,0.0,8
stm,frozenlake_4x4,5.0,0.05,,1.0,0.0,8
stm,frozenlake_4x4,5.0,0.1,,1.0,0.0,8
stm,frozenlake_4x4,10.0,0.01,,1.0,0.0,8
stm,frozenlake_4x4,10.0,0.05,,1.0,0.0,8
stm,frozenlake_4x4,10.0,0.1,,1.0,0.0,8
stm,frozenlake_4x4,20.0,0.01,,1.0,0.0,8
stm,frozenlake_4x4,20.0,0.05,,1.0,0.0,8
stm,frozenlake_4x4,20.0,0.1,,1.0,0.0,8
stm,frozenlake_8x8,5.0,0.01,,0.75,0.4629100498862757,8
stm,frozenlake_8x8,5.0,0.05,,0.5,0.5345224838248488,8
stm,frozenlake_8x8,5.0,0.1,,0.375,0.5175491695067657,8
stm,frozenlake_8x8,10.0,0.01,,1.0,0.0,8
stm,frozenlake_8x8,10.0,0.05,,0.75,0.4629100498862757,8
stm,frozenlake_8x8,10.0,0.1,,0.625,0.5175491695067657,8
stm,frozenlake_8x8,20.0,0.01,,0.875,0.3535533905932738,8
stm,frozenlake_8x8,20.0,0.05,,0.875,0.3535533905932738,8
stm,frozenlake_8x8,20.0,0.1,,0.5,0.5345224838248488,8
stm,frozenlake_8x8_stochastic,5.0,0.01,,0.181,0.20517588273757434,8
stm,frozenlake_8x8_stochastic,5.0,0.05,,0.0045000000000000005,0.004375255094603873,8
stm,frozenlake_8x8_stochastic,5.0,0.1,,0.0015,0.0014142135623730952,8
stm,frozenlake_8x8_stochastic,10.0,0.01,,0.058249999999999996,0.07224907315273027,8
stm,frozenlake_8x8_stochastic,10.0,0.05,,0.0045000000000000005,0.0027774602993176547,8
stm,frozenlake_8x8_stochastic,10.0,0.1,,0.005,0.0041403933560541254,8
stm,frozenlake_8x8_stochastic,20.0,0.01,,0.08525,0.1074373571635384,8
stm,frozenlake_8x8_stochastic,20.0,0.05,,0.0032500000000000003,0.0021213203435596424,8
stm,frozenlake_8x8_stochastic,20.0,0.1,,0.00125,0.0021213203435596424,8
